key,value
sport,canadian_football
sport,canoe
sport,chess
sport,cliff_diving
sport,climbing
sport,climbing_adventure
sport,cockfighting
sport,cricket
sport,crossfit
sport,croquet
sport,curling
sport,cycling
sport,darts
sport,dog_agility
sport,dog_racing
sport,equestrian
sport,fencing
sport,field_hockey
sport,fitness
sport,floorball
sport,free_flying
sport,futsal
sport,gaelic_games
sport,golf
sport,gymnastics
sport,handball
sport,hapkido
sport,horseshoes
sport,horse_racing
sport,ice_hockey
sport,ice_skating
sport,ice_stock
sport,judo
sport,karate
sport,karting
sport,kickboxing
sport,kitesurfing
sport,korfball
sport,krachtbal
sport,lacrosse
sport,martial_arts
sport,miniature_golf
sport,model_aerodrome
sport,motocross
sport,motor
sport,multi
sport,netball
sport,obstacle_course
sport,orienteering
sport,paddle_tennis
sport,padel
sport,parachuting
sport,parkour
sport,pelota
sport,pesäpallo
sport,pickleball
sport,pilates
sport,racquet
sport,rc_car
sport,roller_skating
sport,rowing
sport,rugby_league
sport,rugby_union
sport,running
sport,sailing
sport,scuba_diving
sport,shooting
sport,shot-put
sport,skateboard
sport,ski_jumping
sport,skiing
sport,snooker
sport,soccer
sport,speedway
sport,squash
sport,sumo
sport,surfing
sport,swimming
sport,table_tennis
sport,table_soccer
sport,taekwondo
sport,tennis
sport,toboggan
sport,ultimate
sport,volleyball
sport,wakeboarding
sport,water_polo
sport,water_ski
sport,weightlifting
sport,wrestling
sport,yoga
surface,paved / unpaved / asphalt / concrete / paving_stones / sett / cobblestone / metal / wood / compacted / fine_gravel / gravel / pebblestone / plastic / grass_paver / grass / dirt / earth / mud / sand / ground
tactile_paving,yes / no
telecom,exchange
telecom,connection_point
telecom,distribution_point
telecom,service_device
telecom,data_center
tourism,alpine_hut
tourism,apartment
tourism,aquarium
tourism,artwork
tourism,attraction
tourism,camp_pitch
tourism,camp_site
tourism,caravan_site
tourism,chalet
tourism,gallery
tourism,guest_house
tourism,hostel
tourism,hotel
tourism,information
tourism,motel
tourism,museum
tourism,picnic_site
tourism,theme_park
tourism,viewpoint
tourism,wilderness_hut
tourism,zoo
tourism,yes
tracks,number
tracktype,grade1/ grade2/ grade3/ grade4/ grade5
traffic_calming,yes / bump / hump / cushion / table etc.
trail_visibility,excellent / good / intermediate / bad / horrible / no
tunnel,yes
turn,left / slight_left / through / right / slight_right / merge_to_left / merge_to_right / reverse
usage,mainbranchfreightindustrialmilitarytourism
voltage,number
waterway,river
waterway,riverbank
waterway,stream
waterway,tidal_channel
waterway,canal
waterway,drain
waterway,ditch
waterway,pressurised
waterway,fairway
waterway,dock
waterway,boatyard
waterway,dam
waterway,weir
waterway,waterfall
waterway,lock_gate
waterway,turning_point
waterway,water_point
waterway,fuel
winter_road,yes
